Before prefix sum:
-62	-1	24	63	-13	22	57	54	55	72	-46	-70	-45	-61	60	63	91	-69	75	-77	-29	-98	0	-3	36	-34	42	60	-26	-81	12	-89	
0	-12	-98	-96	54	-42	76	-51	-28	47	23	77	-85	97	-27	-77	86	-22	30	-10	-21	7	57	58	-37	-7	13	-13	73	13	-13	93	
60	-92	-72	9	40	-8	40	-25	-57	-35	84	62	-12	29	81	-91	-89	98	-64	37	-91	85	34	83	18	95	6	-21	-92	-48	12	-14	
-35	52	0	19	-78	-84	21	40	13	-68	-99	-94	23	-35	82	-6	58	-87	98	-24	91	-77	58	79	-43	52	24	-25	-5	-95	-61	81	
-24	57	-90	23	-10	-58	96	-42	-76	32	-77	77	47	34	17	-35	-6	-59	-79	-98	-55	-86	79	46	-17	95	7	38	-99	98	-40	38	
-13	89	22	16	83	6	25	-67	41	-69	-71	87	49	43	66	-5	26	76	-13	-20	-70	-66	13	-74	5	-18	90	-96	-4	12	0	56	
7	-47	63	-58	-89	-65	33	-15	53	94	41	-91	59	83	11	-69	93	88	-71	52	-95	-90	18	-50	-78	85	90	67	-35	-69	-62	38	
-9	-27	84	87	75	22	-50	39	-31	0	-64	42	80	-74	41	65	45	48	80	-9	55	-85	19	-26	-42	86	-70	-17	-33	-54	31	14	
-86	14	-89	-17	-36	25	18	-56	70	24	-43	-5	-66	94	-74	54	98	-95	-65	-56	-37	-76	13	-65	-99	-15	80	31	95	13	11	13	
-84	30	-34	-27	45	90	-72	-61	10	69	-46	92	94	-24	33	-34	-49	-48	-79	33	55	-64	56	-25	52	-98	82	-33	31	-20	13	-7	
-60	30	39	99	90	3	77	-20	98	-89	63	-91	9	25	-10	-99	78	-17	94	-99	18	-16	-27	-28	-36	23	74	-17	-57	-98	46	-18	
-27	-57	60	5	56	55	40	4	24	1	-2	-87	68	-19	42	40	-12	84	-94	10	-28	-34	46	28	-5	90	-32	-58	28	80	-75	5	
-66	51	47	4	-75	18	-27	-26	20	-84	-80	5	60	51	89	-97	95	-93	76	88	25	-19	86	-11	44	56	43	14	-92	75	-13	-28	
-44	-15	-34	66	-84	-78	52	73	1	58	32	-2	26	-21	-26	-93	-11	-66	-17	-63	-4	-80	96	81	-26	16	-98	79	84	-13	74	-85	
-30	-56	26	39	-29	-1	-58	0	-56	49	-17	75	-86	-56	30	-43	51	98	86	72	-25	-79	-41	-27	-26	13	65	-19	80	-94	-15	-67	
-100	-14	-92	56	-72	-15	19	57	-79	-23	-41	95	-89	-57	24	-82	-96	95	71	-43	-39	-26	51	99	12	4	-93	64	13	69	31	37	
-64	-94	59	-90	22	-84	11	63	25	82	37	41	-52	-93	57	6	71	-27	45	32	38	-72	-6	72	71	-10	32	95	-34	8	3	36	
-22	87	-94	9	15	-67	70	-3	90	40	36	-16	-85	-65	-18	56	-92	8	-66	56	13	18	-66	-79	13	-98	2	-98	73	-10	44	97	
80	28	-45	-36	-49	-68	39	-57	80	78	96	85	28	5	-34	82	21	-69	64	75	25	-31	-77	71	-43	60	97	-30	-14	66	14	-29	
5	27	-61	-57	-67	-44	0	-98	98	-60	-22	52	42	-55	-65	-23	-86	-2	-69	5	-68	2	-44	51	7	-29	54	2	76	-33	27	71	
70	14	19	-18	38	-35	7	20	77	-6	-90	96	56	85	-71	-31	-89	-26	-89	21	-90	-22	3	-6	-20	2	99	-46	-79	-71	-35	-48	
99	-18	-20	-35	76	27	13	-61	90	-12	77	-38	55	13	-94	90	92	99	3	42	-59	-9	75	-21	-56	-53	-73	54	45	-15	94	97	
7	72	-12	42	-96	-85	21	-54	92	-15	93	-59	86	50	-64	-9	24	5	-18	-44	-28	36	-93	25	73	-28	34	-94	-83	-40	77	-65	
56	-52	-37	-68	63	-34	1	-82	-96	62	-14	-15	-11	-31	-53	-25	66	61	48	36	17	-95	-2	-25	-3	83	-47	-66	21	-10	50	-65	
-46	-39	4	97	-81	84	42	-74	76	97	13	-87	98	-89	-65	73	-98	72	-9	51	86	39	69	-4	-6	12	80	98	-55	-84	-40	53	
42	-38	44	54	-97	-47	-43	-27	16	-90	86	-98	-33	88	-76	89	3	93	39	-13	-41	-67	72	97	81	54	53	68	-48	-40	87	90	
87	56	49	-26	82	-48	-53	-13	-2	-13	61	18	90	46	27	-88	82	-28	38	-58	-92	-8	66	80	-27	-42	87	60	-4	-18	-75	12	
92	-40	-97	-30	35	83	-72	-63	-69	-41	29	-98	96	14	38	38	52	43	-15	-12	-73	-4	-57	-14	52	-68	-90	38	-2	-92	-64	32	
26	-15	10	-41	13	-61	63	-39	87	7	-62	26	42	-29	39	61	-49	-59	83	65	6	-44	11	35	-36	-2	-33	-46	-34	18	95	35	
-60	68	33	-41	14	-21	-90	75	8	60	-59	49	-82	92	73	-30	-95	23	93	30	-35	-81	-18	-30	-73	17	-75	6	-18	-62	23	-17	
-74	-62	94	-93	-64	-91	52	13	-4	-27	53	21	-40	62	-97	-59	-8	-36	40	50	-87	20	33	-4	-31	89	18	32	-55	39	-47	39	
86	25	65	57	-71	79	29	5	76	-86	48	4	3	58	-73	-70	-93	-53	66	44	-77	-48	4	-92	74	-96	-93	86	38	-42	-5	-90	
CUDA Execution time: 0.033312 ms
After prefix sum:
-62	-1	24	63	-13	22	57	54	55	72	-46	-70	-45	-61	60	63	91	-69	75	-77	-29	-98	0	-3	36	-34	42	60	-26	-81	12	-89	
0	-12	-98	-96	54	-42	76	-51	-28	47	23	77	-85	97	-27	-77	86	-22	30	-10	-21	7	57	58	-37	-7	13	-13	73	13	-13	93	
60	-92	-72	9	40	-8	40	-25	-57	-35	84	62	-12	29	81	-91	-89	98	-64	37	-91	85	34	83	18	95	6	-21	-92	-48	12	-14	
-35	52	0	19	-78	-84	21	40	13	-68	-99	-94	23	-35	82	-6	58	-87	98	-24	91	-77	58	79	-43	52	24	-25	-5	-95	-61	81	
-24	57	-90	23	-10	-58	96	-42	-76	32	-77	77	47	34	17	-35	-6	-59	-79	-98	-55	-86	79	46	-17	95	7	38	-99	98	-40	38	
-13	89	22	16	83	6	25	-67	41	-69	-71	87	49	43	66	-5	26	76	-13	-20	-70	-66	13	-74	5	-18	90	-96	-4	12	0	56	
7	-47	63	-58	-89	-65	33	-15	53	94	41	-91	59	83	11	-69	93	88	-71	52	-95	-90	18	-50	-78	85	90	67	-35	-69	-62	38	
-9	-27	84	87	75	22	-50	39	-31	0	-64	42	80	-74	41	65	45	48	80	-9	55	-85	19	-26	-42	86	-70	-17	-33	-54	31	14	
-86	14	-89	-17	-36	25	18	-56	70	24	-43	-5	-66	94	-74	54	98	-95	-65	-56	-37	-76	13	-65	-99	-15	80	31	95	13	11	13	
-84	30	-34	-27	45	90	-72	-61	10	69	-46	92	94	-24	33	-34	-49	-48	-79	33	55	-64	56	-25	52	-98	82	-33	31	-20	13	-7	
-60	30	39	99	90	3	77	-20	98	-89	63	-91	9	25	-10	-99	78	-17	94	-99	18	-16	-27	-28	-36	23	74	-17	-57	-98	46	-18	
-27	-57	60	5	56	55	40	4	24	1	-2	-87	68	-19	42	40	-12	84	-94	10	-28	-34	46	28	-5	90	-32	-58	28	80	-75	5	
-66	51	47	4	-75	18	-27	-26	20	-84	-80	5	60	51	89	-97	95	-93	76	88	25	-19	86	-11	44	56	43	14	-92	75	-13	-28	
-44	-15	-34	66	-84	-78	52	73	1	58	32	-2	26	-21	-26	-93	-11	-66	-17	-63	-4	-80	96	81	-26	16	-98	79	84	-13	74	-85	
-30	-56	26	39	-29	-1	-58	0	-56	49	-17	75	-86	-56	30	-43	51	98	86	72	-25	-79	-41	-27	-26	13	65	-19	80	-94	-15	-67	
-100	-14	-92	56	-72	-15	19	57	-79	-23	-41	95	-89	-57	24	-82	-96	95	71	-43	-39	-26	51	99	12	4	-93	64	13	69	31	37	
-64	-94	59	-90	22	-84	11	63	25	82	37	41	-52	-93	57	6	71	-27	45	32	38	-72	-6	72	71	-10	32	95	-34	8	3	36	
-22	87	-94	9	15	-67	70	-3	90	40	36	-16	-85	-65	-18	56	-92	8	-66	56	13	18	-66	-79	13	-98	2	-98	73	-10	44	97	
80	28	-45	-36	-49	-68	39	-57	80	78	96	85	28	5	-34	82	21	-69	64	75	25	-31	-77	71	-43	60	97	-30	-14	66	14	-29	
5	27	-61	-57	-67	-44	0	-98	98	-60	-22	52	42	-55	-65	-23	-86	-2	-69	5	-68	2	-44	51	7	-29	54	2	76	-33	27	71	
70	14	19	-18	38	-35	7	20	77	-6	-90	96	56	85	-71	-31	-89	-26	-89	21	-90	-22	3	-6	-20	2	99	-46	-79	-71	-35	-48	
99	-18	-20	-35	76	27	13	-61	90	-12	77	-38	55	13	-94	90	92	99	3	42	-59	-9	75	-21	-56	-53	-73	54	45	-15	94	97	
7	72	-12	42	-96	-85	21	-54	92	-15	93	-59	86	50	-64	-9	24	5	-18	-44	-28	36	-93	25	73	-28	34	-94	-83	-40	77	-65	
56	-52	-37	-68	63	-34	1	-82	-96	62	-14	-15	-11	-31	-53	-25	66	61	48	36	17	-95	-2	-25	-3	83	-47	-66	21	-10	50	-65	
-46	-39	4	97	-81	84	42	-74	76	97	13	-87	98	-89	-65	73	-98	72	-9	51	86	39	69	-4	-6	12	80	98	-55	-84	-40	53	
42	-38	44	54	-97	-47	-43	-27	16	-90	86	-98	-33	88	-76	89	3	93	39	-13	-41	-67	72	97	81	54	53	68	-48	-40	87	90	
87	56	49	-26	82	-48	-53	-13	-2	-13	61	18	90	46	27	-88	82	-28	38	-58	-92	-8	66	80	-27	-42	87	60	-4	-18	-75	12	
92	-40	-97	-30	35	83	-72	-63	-69	-41	29	-98	96	14	38	38	52	43	-15	-12	-73	-4	-57	-14	52	-68	-90	38	-2	-92	-64	32	
26	-15	10	-41	13	-61	63	-39	87	7	-62	26	42	-29	39	61	-49	-59	83	65	6	-44	11	35	-36	-2	-33	-46	-34	18	95	35	
-60	68	33	-41	14	-21	-90	75	8	60	-59	49	-82	92	73	-30	-95	23	93	30	-35	-81	-18	-30	-73	17	-75	6	-18	-62	23	-17	
-74	-62	94	-93	-64	-91	52	13	-4	-27	53	21	-40	62	-97	-59	-8	-36	40	50	-87	20	33	-4	-31	89	18	32	-55	39	-47	39	
86	25	65	57	-71	79	29	5	76	-86	48	4	3	58	-73	-70	-93	-53	66	44	-77	-48	4	-92	74	-96	-93	86	38	-42	-5	-90	
